Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Cost per item,Status
girl-minnie-hearts-fleece-tracksuit,,,Meeeku,,,,TRUE,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_hearts_winter_set_alt.jpg,2,Minnie Hearts Fleece Tracksuit Set - Detail Angle,FALSE,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_hearts_winter_set_alt.jpg,g,,active
girl-minnie-vanilla-fleece-hoodie,Minnie Vanilla Fleece Hoodie,<p>Stay cute and warm all winter long in this warm vanilla cream fleece pullover hoodie featuring sweet Minnie Mouse artwork in pastel pink bow and yellow shoes.</p><ul><li>Fabric: Heavyweight 100% Combed Cotton Fleece</li><li>Style: Snug Over-The-Head Hooded Sweatshirt</li><li>Features: Kangaroo warmth & ribbed cuffs</li><li>Care: Machine Wash Cold</li></ul>,Meeeku,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Sweaters,Girls Winterwear,"Girls, Winterwear, Hoodie, Minnie Mouse, Vanilla Cream, Fleece, 1-2Y, 2-3Y, 3-4Y, 4-5Y, 5-6Y",TRUE,Size,1-2Y,,,,,MEEK-G-WIN-HOD-1-2Y,180,shopify,35,deny,manual,999.00,1399.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_cream_fleece_hoodie.jpg,1,Minnie Vanilla Fleece Hoodie - Flatlay,FALSE,Minnie Vanilla Fleece Hoodie - Meeeku,"Shop Minnie Vanilla Fleece Hoodie at Meeeku. 100% skin-safe, zero-itch guarantee.",Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Sweaters,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_cream_fleece_hoodie.jpg,g,300.00,active
girl-minnie-vanilla-fleece-hoodie,,,,,,,,Size,2-3Y,,,,,MEEK-G-WIN-HOD-2-3Y,180,shopify,35,deny,manual,999.00,1399.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_cream_fleece_hoodie_alt.jpg,2,Minnie Vanilla Fleece Hoodie - Closeup View,,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_cream_fleece_hoodie_alt.jpg,g,300.00,active
girl-minnie-vanilla-fleece-hoodie,,,,,,,,Size,3-4Y,,,,,MEEK-G-WIN-HOD-3-4Y,180,shopify,35,deny,manual,999.00,1399.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,300.00,active
girl-minnie-vanilla-fleece-hoodie,,,,,,,,Size,4-5Y,,,,,MEEK-G-WIN-HOD-4-5Y,180,shopify,35,deny,manual,999.00,1399.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,300.00,active
girl-minnie-vanilla-fleece-hoodie,,,,,,,,Size,5-6Y,,,,,MEEK-G-WIN-HOD-5-6Y,180,shopify,35,deny,manual,999.00,1399.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,300.00,active
retro-bows-character-sweatshirt,Retro Bows Character Sweatshirt,"<p>Retro pop-art delight! Features colorful sketches of Minnie and Daisy with vibrant purple, magenta, and teal bow ties on an ultra-soft cream combed cotton sweatshirt.</p><ul><li>Fabric: 100% Pure Combed Cotton French Terry</li><li>Style: Classic Relaxed Crewneck Sweatshirt</li><li>Features: Ribbed neck, cuffs, and hem</li><li>Care: Machine Wash Cold</li></ul>",Meeeku,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Sweaters,Basic T-Shirts,"Extras, Sweatshirt, Character, Minnie, Daisy, Retro Bows, Cream, 0-6M, 6-12M, 12-18M, 18-24M, 2-3Y",TRUE,Size,0-6M,,,,,MEEK-TEE-RET-0-6M,180,shopify,35,deny,manual,799.00,1099.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_extra_retro_bows_sweatshirt.jpg,1,Retro Bows Character Sweatshirt - Flatlay,FALSE,Retro Bows Character Sweatshirt - Meeeku,"Shop Retro Bows Character Sweatshirt at Meeeku. 100% skin-safe, zero-itch guarantee.",Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Sweaters,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_extra_retro_bows_sweatshirt.jpg,g,260.00,active
retro-bows-character-sweatshirt,,,,,,,,Size,6-12M,,,,,MEEK-TEE-RET-6-12M,180,shopify,35,deny,manual,799.00,1099.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_extra_retro_bows_sweatshirt_alt.jpg,2,Retro Bows Character Sweatshirt - Closeup View,,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_extra_retro_bows_sweatshirt_alt.jpg,g,260.00,active
retro-bows-character-sweatshirt,,,,,,,,Size,12-18M,,,,,MEEK-TEE-RET-12-18M,180,shopify,35,deny,manual,799.00,1099.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,260.00,active
retro-bows-character-sweatshirt,,,,,,,,Size,18-24M,,,,,MEEK-TEE-RET-18-24M,180,shopify,35,deny,manual,799.00,1099.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,260.00,active
retro-bows-character-sweatshirt,,,,,,,,Size,2-3Y,,,,,MEEK-TEE-RET-2-3Y,180,shopify,35,deny,manual,799.00,1099.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,260.00,active
